cod_amm,des_amm,Comune,nome_resp,cogn_resp,Cap,Provincia,Regione,sito_istituzionale,Indirizzo,titolo_resp,tipologia_istat,tipologia_amm,acronimo,cf_validato,Cf,mail1,tipo_mail1,mail2,tipo_mail2,mail3,tipo_mail3,mail4,tipo_mail4,mail5,tipo_mail5,url_facebook,url_twitter,url_googleplus,url_youtube,liv_accessibili
c_9gbx,Comune di Braies,Braies,Friedrich,Mittermair,39030,BZ,Trentino Alto Adige,http://www.comune.braies.bz.it,Braies Di Dentro 40,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,81008120214,prags.braies@legalmail.it,pec,info@comune.braies.bz.it,altro,,,,,,,,,,,0
c_a001,Comune di Abano Terme,Abano Terme,Giovanni,Zampieri,35031,PD,Veneto,http://www.abanoterme.net,"Piazza Caduti, 1",Segretario Generale,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00556230282,abanoterme.pd@cert.ip-veneto.net,pec,protocollo@abanoterme.net,altro,,,,,,,,,,,0
c_a004,Comune di Abbadia Cerreto,Abbadia Cerreto,Agostina,Marazzi,26834,LO,Lombardia,http://www.comune.abbadiacerreto.lo.it,"Via Dell'Abbazia, 7",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,84503440152,comune.abbadiacerreto@pec.regione.lombardia.it,pec,,,,,,,,,,,,,0
c_a005,Comune di Abbadia Lariana,Abbadia Lariana,Giuseppe,Parente,23821,LC,Lombardia,http://www.comune.abbadia-lariana.lc.it/,"Via Nazionale, 120",Segretario Comunale,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,83007090133,comune.abbadialariana@legalmail.it,pec,finanziario@omune.abbadia-lariana.lc.it,altro,info@comune.abbadia-lariana.lc.it,altro,,,,,,,,,0
c_a006,Comune di Abbadia San Salvatore,Abbadia San Salvatore,Fabrizio,Tondi,53021,SI,Toscana,http://www.comune.abbadia.siena.it,"Viale Roma, 2",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00221400526,comune.abbadia@postacert.toscana.it,pec,comune@comune.abbadia.siena.it,altro,,,,,,,,,,,0
c_a007,Comune di Abbasanta,Abbasanta,Stefano,Sanna,9071,OR,Sardegna,http://www.comune.abbasanta.or.it,Via Garibaldi N. 144,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00068600956,protocollo@pec.comune.abbasanta.or.it,pec,ragioneria@pec.comune.abbasanta.or.it,pec,suap@pec.comune.abbasanta.or.it,pec,ufficiotecnico@pec.comune.abbasanta.or.it,pec,demografico@pec.comune.abbasanta.or.it,pec,,,,,0
c_a008,Comune di Abbateggio,Abbateggio,Antonio,Di Marco,65020,PE,Abruzzo,http://www.comune.abbateggio.pe.it,"Via Roma, 8",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00172780686,abbateggio@pec.pescarainnova.it,pec,comune@comune.abbateggio.pe.it,altro,,,,,,,,,,,0
c_a010,Comune di Abbiategrasso,Abbiategrasso,Cesare,Nai,20081,MI,Lombardia,http://www.comune.abbiategrasso.mi.it,"Piazza Guglielmo Marconi, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,01310880156,comune.abbiategrasso@legalpec.it,pec,protocollo@comune.abbiategrasso.mi.it,altro,,,,,,,,,,,2
c_a013,Comune di Abriola,Abriola,Romano,Triunfo,85010,PZ,Basilicata,http://www.comune.abriola.pz.it,"Via Passarelli, 3",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00238440762,comune.abriola@cert.ruparbasilicata.it,pec,,,,,,,,,,,,,0
c_a014,Comune di Acate,Acate,Giovanni,Di Natale,97011,RG,Sicilia,http://www.comune.acate.rg.it,Piazza Liberta' 34,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00080280886,protocollo@pec.comune.acate.rg.it,pec,protocollo@comune.acate.rg.it,altro,info@comune.acate.rg.it,altro,,,,,,,,,0
c_a015,Comune di Accadia,Accadia,Pasquale,Murgante,71021,FG,Puglia,http://www.comune.accadia.fg.it,"Via Roma,1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,80002990713,ragioneria@pec.comune.accadia.fg.it,pec,segreteria@comune.accadia.fg.it,altro,anagrafe@comune.accadia.fg.it,altro,elettorale@comune.accadia.fg.it,altro,,,,,,,0
c_a016,Comune di Acceglio,Acceglio,Giovanni Enrico,CARANZANO,12021,CN,Piemonte,http://www.comune.acceglio.cn.it,Borgo Villa 1,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00481380046,comuneacceglio@pcert.postecert.it,pec,info@comune.acceglio.cn.it,altro,,,,,,,,,,,0
c_a017,Comune di Accettura,Accettura,Nicola,Buonanova,75011,MT,Basilicata,http://www.comune.accettura.mt.it,Via Roma,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,83001130778,comune.accettura@cert.ruparbasilicata.it,pec,,,,,,,,,,,,,0
c_a018,Comune di Acciano,Acciano,Fabio,Camilli,67020,AQ,Abruzzo,http://www.comune.acciano.aq.it,Via Roma N.7,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,83003750664,accianoaq@pec.it,pec,,,,,,,,,,,,,3
c_a019,Comune di Accumoli,Accumoli,Stefano,Petrucci,2011,RI,Lazio,http://www.comune.accumoli.ri.it,"Via Salvator Tommasi, 44",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00113430573,comuneaccumoli.fatture@pec.it,pec,comune.accumoli@pec.it,pec,,,,,,,,,,,0
c_a020,Comune di Acerenza,Acerenza,FERNANDO TEODORO MARIA,SCATTONE,85011,PZ,Basilicata,http://www.comune.acerenza.pz.it,Via Vittorio Emanuele III,SINDACO PRO-TEMPORE,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,80004220762,protocollo@pec.comune.acerenza.pz.it,pec,tributi@pec.comune.acerenza.pz.it,pec,tributi@comune.acerenza.pz.it,altro,,,,,,,,,0
c_a023,Comune di Acerno,Acerno,Innocenzo,SANSONE,84042,SA,Campania,http://www.comune.acerno.sa.it,Via Rimembranza,Responsabile Area Finanziaria,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00552610651,protocollo@pec.comune.acerno.sa.it,pec,ragioneria@comune.acerno.sa.it,altro,,,,,,,,,,,0
c_a024,Comune di Acerra,Acerra,Raffaele,Lettieri,80011,NA,Campania,http://www.comune.acerra.na.it,"Viale Della Democrazia, 21",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,80103960631,protocollo@pec.comuneacerra.it,pec,sindaco@comune.acerra.na.it,altro,protocollo@comune.acerra.na.it,altro,,,,,,,,,0
c_a025,Comune di Aci Bonaccorsi,Aci Bonaccorsi,Vito,Di Mauro,95020,CT,Sicilia,http://www.comune.acibonaccorsi.ct.it,Piazza Della Regione,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00210150876,protocollo@pec.comune.acibonaccorsi.ct.it,pec,,,,,,,,,https://www.facebook.com/comuneacibonaccorsi/,,,,0
c_a026,Comune di Aci Castello,Aci Castello,Carmelo,Scandurra,95021,CT,Sicilia,http://www.comune.acicastello.ct.it,"Via Dante, 28",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,COMUNE DI ACI CASTELLO,S,00162000871,protocollo@pec.comune.acicastello.ct.it,pec,,,,,,,,,,,,,2
c_a027,Comune di Aci Catena,Aci Catena,Deborah Maria,CASABONA,95022,CT,Sicilia,http://www.comune.acicatena.ct.it,"Via Vittorio Emanuele, 4",Direttore generale,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00146380878,comune.acicatena@pec.it,pec,,,,,,,,,,,,,0
c_a028,Comune di Acireale,Acireale,STEFANO,ALI',95024,CT,Sicilia,http://www.comune.acireale.ct.it,"Via Lancaster, 13",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,81000970871,protocollo@pec.comune.acireale.ct.it,pec,,,,,,,,,,,,,0
c_a029,Comune di Aci Sant'Antonio,Aci Sant'Antonio,Santo Orazio,Caruso,95025,CT,Sicilia,http://www.comuneacisantantonio.gov.it,"Via Regina Margherita, 8",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00410340871,comune-acisantantonio@legalmail.it,pec,anagrafe@pec.comune.acisantantonio.ct.it,pec,secondosettore@pec.comune.acisantantonio.ct.it,pec,ufficioelettorale-comune-acisantantonio@legalmail.it,pec,urbanistica-acisantantonio@legalmail.it,pec,,,,,3
c_a032,Comune di Acquafondata,Acquafondata,Antonio,Di Meo,3040,FR,Lazio,http://www.comune.acquafondata.fr.it,"Piazza Caduti, 5",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,81002150605,comuneacquafondata@cert-posta.it,pec,acquafondata.anagrafe@virgilio.it,altro,,,,,,,,,,,0
c_a033,Comune di Acquaformosa,Acquaformosa,Gennaro,Capparelli,87010,CS,Calabria,http://www.comune.acquaformosa.cs.it,Via San Francesco,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,83001070784,sindaco.acquaformosa@asmepec.it,pec,protocollo.acquaformosa@asmepec.it,pec,demografico.acquaformosa@asmepec.it,pec,tecnico.acquaformosa@asmepec.it,pec,,,https://www.facebook.com/comunediacquaformosa/,,,,0
c_a034,Comune di Acquafredda,Acquafredda,Maurizio,Donini,25010,BS,Lombardia,http://www.comune.acquafredda.bs.it,"Via Della Repubblica, 14",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,85001290171,protocollo@pec.comune.acquafredda.bs.it,pec,,,,,,,,,,,,,0
c_a035,Comune di Acqualagna,Acqualagna,Andrea,Pierotti,61041,PU,Marche,http://www.comune.acqualagna.ps.it,"Piazza Mattei,9",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00152230413,comune.acqualagna@emarche.it,pec,comune.acqualagna@provincia.ps.it,altro,,,,,,,,,,,0
c_a038,Comune di Acquanegra sul Chiese,Acquanegra sul Chiese,Monica,De Pieri,46011,MN,Lombardia,http://www.comune.acquanegra.mn.it,"Piazza XXV Aprile, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00413370206,acquanegrasulchiese.mn@legalmail.it,pec,protocollo@comune.acquanegra.mn.it,altro,,,,,,,,,,,0
c_a039,Comune di Acquanegra Cremonese,Acquanegra Cremonese,Oreste Daniele,Bricchi,26020,CR,Lombardia,http://www.comune.acquanegra.cr.it,Via Stazione 128,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00304070196,comune.acquanegracremonese@pec.regione.lombardia.it,pec,comune.acquanegra.cr@libero.it,altro,protocollo.comune.acquanegracr@pec.regione.lombardia.it,pec,ufficiotecnico.comune.acquanegracr@pec.regione.lombardia.it,pec,polizialocale.comune.acquanegracr@pec.regione.lombardia.it,pec,,,,,0
c_a040,Comune di Acquapendente,Acquapendente,Franco,Colonnelli,1021,VT,Lazio,http://www.comuneacquapendente.it,"Piazza G.Fabrizio,17",Segretario Direttore Generale,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00080450562,comuneacquapendente@legalmail.it,pec,,,,,,,,,,,,,0
c_a041,Comune di Acquappesa,Acquappesa,Giorgio,Maritato,87020,CS,Calabria,http://www.comune.acquappesa.cs.it,"P.zza Municipio, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,86000150788,protocollo.acquappesa@asmepec.it,pec,comune.acquappesa@libero.it,altro,,,,,,,,,,,0
c_a043,Comune di Acquaro,Acquaro,Gabriele,Corrado,89832,VV,Calabria,http://www.comune.acquaro.vv.it,Piazza G. Marcioni,Responsabile Servizio Tecnico Ll.pp.,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,UFFICIO TECNICO - LAVORI PUBBLICI,S,00313680795,utclavoripubblici.acquaro@asmepec.it,pec,llppacquaro@gmail.com,altro,,,,,,,,,,,0
c_a044,Comune di Acquasanta Terme,Acquasanta Terme,Sante,Stangoni,63095,AP,Marche,http://www.comune.acquasantaterme.ap.it,"Piazza XX Settembre, 12",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00356080440,comune.acquasantaterme@anutel.it,pec,,,,,,,,,,,,,0
c_a045,Comune di Acquasparta,Acquasparta,GIOVANNI,MONTANI,5021,TR,Umbria,http://www.comune.acquasparta.tr.it,Corso Umberto Primo 31,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,80005310554,comune.acquasparta@postacert.umbria.it,pec,acquasp@tiscali.it,altro,segreteria@comune.acquasparta.tr,altro,,,,,,,,,0
c_a047,Comune di Acquaviva Picena,Acquaviva Picena,Pierpaolo,Rosetti,63075,AP,Marche,http://www.comuneacquavivapicena.it,"Via San Rocco, 9",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00376660445,protocollo@pec.comuneacquavivapicena.it,pec,info@comuneacquavivapicena.it,altro,,,,,,,,,,,0
c_a048,Comune di Acquaviva delle Fonti,Acquaviva delle Fonti,Davide Francesco Ruggero,Carlucci,70021,BA,Puglia,http://www.comune.acquaviva.ba.it,"Atrio Palazzo di Citta, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00869560722,protocollo.comuneacquaviva@pec.it,pec,,,,,,,,,https://www.facebook.com/comune.acquavivadellefonti.9,,,,0
c_a049,Comune di Acquaviva Platani,Acquaviva Platani,Giuseppe,Insalaco,93010,CL,Sicilia,http://www.comune.acquavivaplatani.cl.it,Piazza Municipio,Responsabile Servizi Finanziari,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,81000730853,protocollo.acquavivaplatani@legalmail.it,pec,,,,,,,,,,,,,0
c_a051,Comune di Acquaviva d'Isernia,Acquaviva d'Isernia,Francesca,Petrocelli,86080,IS,Molise,http://www.comune.acquavivadisernia.is.it,Corso Umberto I,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,80001830944,comuneacquavivadisernia@pec.it,pec,acquavivadisernia@libero.it,altro,,,,,,,,,,,3
c_a052,Comune di Acqui Terme,Acqui Terme,Lorenzo Giuseppe,Lucchini,15011,AL,Piemonte,http://www.comune.acquiterme.al.it/,"Piazza Levi, 12",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00430560060,acqui.terme@cert.ruparpiemonte.it,pec,protocollo@comune.acquiterme.al.it,altro,,,,,,,,,,,0
c_a053,Comune di Acri,Acri,Anna Maria,Sposato,87041,CS,Calabria,http://www.comune.acri.cs.it,Via Roma,Responsabile Settore Affari Generali,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00388670788,protocollo.acri@pec.it,pec,segreteria@comuneacri.gov.it,altro,,,,,,,,,,,0
c_a054,Comune di Acuto,Acuto,Augusto,Agostini,3010,FR,Lazio,http://www.comune.acuto.fr.it,"Viale Giuseppe Germini, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00311740609,info@pec.comune.acuto.fr.it,pec,,,,,,,,,,,,,0
c_a055,Comune di Adelfia,Adelfia,Ernesto,Lozzi,70010,BA,Puglia,https://www.comune.adelfia.gov.it,"Corso Vittorio Veneto, 122",Segretario comunale,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,80017830722,segretariogenerale.adelfia@pec.rupar.puglia.it,pec,anagrafe.adelfia@pec.rupar.puglia.it,pec,affarigenerali.adelfia@pec.rupar.puglia.it,pec,elettorale.adelfia@pec.rupar.puglia.it,pec,municipale.adelfia@pec.rupar.puglia.it,pec,,,,,0
c_a056,Comune di Adrano,Adrano,Giuseppe,Ferrante,95031,CT,Sicilia,http://www.comune.adrano.ct.it,"Via Aurelio Spampinato, 28",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,80001490871,protocollo@pec.comune.adrano.ct.it,pec,,,,,,,,,,,,,2
c_a057,Comune di Adrara San Martino,Adrara San Martino,Sergio,Capoferri,24060,BG,Lombardia,http://www.comune.adrarasm.bg.it,"Piazza Umberto I, 26",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00712970169,protocollo.comune.adrarasanmartino@pec.regione.lombardia.it,pec,segreteria.protocollo@comune.adrarasm.bg.it,altro,,,,,,,,,,,0
c_a058,Comune di Adrara San Rocco,Adrara San Rocco,TIZIANO,PICCIOLI CAPPELLI,24060,BG,Lombardia,http://www.comune.adrarasanrocco.bg.it,"Via Marconi, 2",RAPPRESENTANTE LEGALE,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00712980168,comune.adrarasanrocco.bg@pec.it,pec,protocollo@comune.adrarasanrocco.bg.it,altro,,,,,,,,,,,0
c_a059,Comune di Adria,Adria,Omar,Barbierato,45011,RO,Veneto,http://www.comune.adria.ro.it,"Corso Vittorio Emanuele II, 49",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,81002900298,protocollo.comune.adria.ro@pecveneto.it,pec,,,,,,,,,,,,,0
c_a060,Comune di Adro,Adro,Paolo,Rosa,25030,BS,Lombardia,http://www.comune.adro.bs.it,Via Tullio Dandolo 55,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,82000850170,comunediadro@cert.legalmail.it,pec,,,,,,,,,,,,,0
c_a061,Comune di Affi,Affi,Roberto,Bonometti,37010,VR,Veneto,http://www.comune.affi.vr.it,"Via Della Repubblica, 9",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00683030233,protocollo@pec.comune.affi.vr.it,pec,servizi@comune.affi.vr.it,altro,,,,,,,,,,,0
c_a062,Comune di Affile,Affile,Ercole,Viri,21,RM,Lazio,http://www.affile.org,"Via Luigi Naddeo, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,86000950583,ragioneria@pec.comune.affile.rm.it,pec,,,anagrafe-protocollo@pec.comune.affile.rm.it,pec,,,,,,,,,0
c_a064,Comune di Afragola,Afragola,Maria,Pedalino,80021,NA,Campania,http://www.comune.afragola.na.it,"Piazza Municipio, 1",Responsabile Settore AA.GG.,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,80047540630,protocollo@pec.comune.afragola.na.it,pec,,,,,,,,,,,,,0
c_a065,Comune di Africo,Africo,Francesco,Bruzzaniti,89030,RC,Calabria,http://www.comune.africo.rc.it,"Piazza Municipio, 27",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,81000830802,protocollo.africo@asmepec.it,pec,protocollo@comune.africo.rc.it,altro,,,,,,,,,,,0
c_a067,Comune di Agazzano,Agazzano,Lino,Cignatta,29010,PC,Emilia Romagna,http://www.comune.agazzano.pc.it,"Piazza Europa, 7",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00290460336,comune.agazzano@legalmail.it,pec,urp@comune.agazzano.pc.it,altro,,,,,,,,,,,0
c_A069,Comune di Aggius,Aggius,Nicola,Muzzu,7020,OT,Sardegna,http://www.comuneaggius.it,Via Pasquale Paoli N 39,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,82005370901,protocollo@pec.comuneaggius.it,pec,protocollo@comuneaggius.it,altro,,,,,,,,,,,1
c_a070,Comune di Agira,Agira,Maria Gaetana,Greco,94011,EN,Sicilia,http://www.comuneagira.gov.it,"Via Vitt. Emanuele, 372",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00106510860,Protocollo_comune_agira@legalmail.it,pec,sindaco@comuneagira.gov.it,altro,,,,,,,,,,,0
c_a071,Comune di Agliana,Agliana,Giacomo,Mangoni,51031,PT,Toscana,http://www.comune.agliana.pt.it,"p. Resistenza, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00315980474,comune.agliana.pt@legalmail.it,pec,,,,,,,,,,,,,0
c_a072,Comune di Agliano Terme,Agliano Terme,FRANCO GIUSEPPE,SERRA,14041,AT,Piemonte,http://www.comune.aglianoterme.at.it,Piazza Roma 21,SINDACO,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,82000250058,comune.aglianoterme.at@cert.legalmail.it,pec,protocollo@comune.aglianoterme.at.it,altro,,,,,,,,,,,0
c_a074,Comune di Aglie',Aglie',Paolo,Marta,10011,TO,Piemonte,http://www.comune.aglie.to.it,"Via Principe Tommaso, 22",Segretario Comunale,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,83501790014,aglie@cert.ruparpiemonte.it,pec,aglie@ruparpiemonte.it,altro,sindaco.aglie@ruparpiemonte.it,altro,responsabiletributi.aglie@ruparpiemonte.it,altro,ragioneria.aglie@ruparpiemonte.it,altro,,,,,1
c_a075,Comune di Agna,Agna,PIVA,GIANLUCA,35021,PD,Veneto,http://www.comune.agna.pd.it,"Via Roma, 28",SINDACO,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,80008770283,agna.pd@cert.ip-veneto.net,pec,,,,,,,,,,,,,0
c_a076,Comune di Agnadello,Agnadello,GIOVANNI LUIGI,CALDERARA,26020,CR,Lombardia,http://www.comune.agnadello.cr.it,"Via Dante, 57",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,00304920192,anagrafe.comune.agnadello@pec.regione.lombardia.it,pec,info@comune.agnadello.cr.it,altro,,,,,,,,,,,0
