ipa,license,other,word,cod_amm,des_amm,Comune,nome_resp,cogn_resp,Cap,Provincia,Regione,sito_istituzionale,Indirizzo,titolo_resp,tipologia_istat,tipologia_amm,acronimo,cf_validato,Cf,mail1,tipo_mail1,mail2,tipo_mail2,mail3,tipo_mail3,mail4,tipo_mail4,mail5,tipo_mail5,url_facebook,url_twitter,url_googleplus,url_youtube,liv_accessibili,slug,name,lat,lng
c_d414,http://creativecommons.org/licenses/by/3.0/it/legalcode,Creative Commons 3.0 BY-SA Italia,,c_d414,Comune di Episcopia,Episcopia,Egidio,Vecchione,85033,PZ,Basilicata,https://episcopia.gov.it,"Via Ing.G.Bruno,115",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,82001030764,protocollocomunepiscopia@pec.it,pec,ragcomunepiscopia@pec.it,pec,ufftecnicocomunepiscopia@pec.it,pec,anagrafecomunepiscopia@pec.it,pec,suap@pec.comune.episcopia.pz.it,pec,,,,,0,episcopia,Episcopia,40.076,16.0991
c_i820,http://creativecommons.org/licenses/by/3.0/it/legalcode,Creative Commons 3.0 BY-SA Italia,,c_i820,Comune di Somma Vesuviana,Somma Vesuviana,SALVATORE,DI SARNO,80049,,Campania,http://www.comune.sommavesuviana.na.it,"Piazza Vittorio Emanuele III, 26",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,80021380631,protocollo.generale@pec.sommavesuviana.info,pec,sindaco@pec.sommavesuviana.info,pec,ragioniere@pec.sommavesuviana.info,pec,suap@pec.sommavesuviana.info,pec,lavori.pubblici@pec.sommavesuviana.info,pec,,,,,0,somma-vesuviana,Somma Vesuviana,40.8718,14.4382
c_d316,https://www.dati.gov.it/content/italian-open-data-license-v20,Italian Open Data License 2.0,,c_d316,Comune di Dogna,Dogna,Simone,Peruzzi,33010,UD,Friuli Venezia Giulia,http://www.comune.dogna.ud.it,"Via Roma, 20",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,84005290303,comune.dogna@certgov.fvg.it,pec,,,,,,,,,,,,,0,dogna,Dogna,46.4489,13.3161
c_l593,http://creativecommons.org/licenses/by/2.5/it/,,,c_l593,Comune di Valle Lomellina,Valle Lomellina,Pier Roberto,Carabelli,27020,PV,Lombardia,http://www.comune.vallelomellina.pv.it,"Piazza Municipio, 2",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,471450189,sindaco.comune.vallelomellina@pec.it,pec,sindaco@comune.vallelomellina.pv.it,altro,bgallina@comune.vallelomellina.pv.it,altro,,,,,,,,,0,valle-lomellina,Valle Lomellina,45.1518,8.6668
c_h769,https://creativecommons.org/licenses/by/3.0/it/,,,c_h769,Comune di San Benedetto del Tronto,San Benedetto del Tronto,Pasqualino,Piunti,63074,AP,Marche,http://www.comunesbt.it,"Viale Alcide De Gasperi, 124",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,360140446,protocollo@cert-sbt.it,pec,comunesbt@comunesbt.it,altro,suapsbt@cert-sbt.it,pec,,,,,https://www.facebook.com/cittasbt,https://twitter.com/cittasbt,https://www.youtube.com/user/cittasbt,,3,san-benedetto-del-tronto,San Benedetto del Tronto,42.9495,13.8781
c_d612,https://creativecommons.org/licenses/by/3.0/it/,CC BY 3.0 IT,,c_d612,Comune di Firenze,Firenze,Dario,Nardella,50122,FI,Toscana,http://www.comune.fi.it,"Palazzo Vecchio, Piazza Della Signoria",Sindaco (rieletto il 26 maggio 2019),Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,1307110484,protocollo@pec.comune.fi.it,pec,segreteria.urp@comune.fi.it,altro,,,,,,,https://www.facebook.com/cittadifirenzeufficiale,https://twitter.com/comunefi,http://www.youtube.com/user/comunefirenze,,0,firenze,Firenze,43.7667,11.25
c_h885,http://creativecommons.org/licenses/by/2.5/it/,,,c_h885,Comune di San Giorgio di Lomellina,San Giorgio di Lomellina,ANDREA ,MORA,27020,PV,Lombardia,http://www.comune.sangiorgiodilomellina.pv.it,"Piazza Pietro Corti, 12",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,83001710181,comune.sangiorgiodilomellina@pec.regione.lombardia.it,pec,,,,,,,,,,,,,0,san-giorgio-di-lomellina,San Giorgio di Lomellina,45.176,8.7913
c_g224,http://creativecommons.org/licenses/by/4.0/deed.it,"(CC BY
              4.0)",,c_g224,Comune di Padova,Padova,Sergio,Giordani,35122,PD,Veneto,http://www.comune.padova.it,Via Municipio 6,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,COMPD,S,644060287,protocollo.generale@pec.comune.padova.it,pec,,,,,,,,,,,,,0,padova,Padova,45.4167,11.8833
c_b476,http://creativecommons.org/licenses/by/3.0/it/legalcode,Creative Commons 3.0 BY-SA Italia,,c_b476,Comune di Camerota,Camerota,Antonio,ROMANO,84040,SA,Campania,http://www.comune.camerota.sa.it,Piazza San Vincenzo 5,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,84001750656,protocollo.camerota@asmepec.it,pec,info@comune.camerota.sa.it,altro,,,,,,,https://www.facebook.com/ComuneDiCamerota,https://twitter.com/ComuneCamerota,http://www.youtube.com/user/ComuneDiCamerota,,3,camerota,Camerota,40.0298,15.3728
c_i914,https://creativecommons.org/licenses/by/4.0/deed.it,Creative Commons Attribution 4.0,,c_i914,Comune di Spino d'Adda,Spino d'Adda,Luigi,Poli,26016,CR,Lombardia,http://www.comune.spinodadda.gov.it,"Piazza XXV Aprile, 2",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,82003090196,comune.spinodadda@pec.regione.lombardia.it,pec,,,,,,,,,,,,,0,spino-d-adda,Spino d'Adda,45.3998,9.4935
c_e632,https://creativecommons.org/licenses/by/3.0/it/,CC BY 3.0 IT,,c_e632,Comune di Loano,Loano,Luigi,Pignocca,17025,SV,Liguria,http://www.comuneloano.it,"Piazza Italia, 2",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,308950096,loano@peccomuneloano.it,pec,loano@comuneloano.it,altro,,,,,,,,,,,0,loano,Loano,44.1288,8.26
c_l219,https://creativecommons.org/licenses/by/3.0/it/,CC BY 3.0 IT,,c_l219,Comune di Torino,Torino,Chiara,Appendino,10122,TO,Piemonte,http://www.comune.torino.it,Piazza Palazzo Di Citta' 1,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,514490010,protocollogenerale@cert.comune.torino.it,pec,,,,,,,,,https://www.facebook.com/cittaditorino,https://twitter.com/twitorino,http://www.youtube.com/youtorino,,0,torino,Torino,45.05,7.6667
c_l575,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra),,c_l575,Comune di Valfloriana,Valfloriana,Jessica,Medici,38040,TN,Trentino Alto Adige,http://www.comune.valfloriana.tn.it,"Frazione Casatta, 1",Resposabile Servizio Finanziario,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,91001540227,comune@pec.comune.valfloriana.tn.it,pec,,,,,,,,,https://www.facebook.com/groups/1565532067076744/,,,,0,valfloriana,Valfloriana,46.2506,11.3442
c_e492,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra),,c_e492,Comune di Lavarone,Lavarone,Isacco,Corradi,38046,TN,Trentino Alto Adige,http://www.comune.lavarone.tn.it,"Frazione Gionghi, 107",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,256270224,protocollo@cert.comune.lavarone.tn.it,pec,protocollo@comune.lavarone.tn.it,altro,,,,,,,,,,,0,lavarone,Lavarone,45.9379,11.2757
c_l308,http://creativecommons.org/licenses/by/3.0/it/legalcode,http://creativecommons.org/licenses/by/3.0/it/legalcode,,c_l308,Comune di Tortorici,Tortorici,Rizzo Nervo,Carmelo,98078,ME,Sicilia,http://www.tortorici.gov.it,"Viale Rosario Livatino, snc",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,84004890830,comune.tortorici@pec.tortorici.eu,pec,info@comunetortorici.me.it,altro,,,,,,,https://www.facebook.com/comuneditortorici/,https://twitter.com/comunetortorici,http://www.youtube.com/channel/UCnceVu_wGIDHbc5UBFoY7_w,,0,tortorici,Tortorici,38.0354,14.8222
c_ku0k,https://creativecommons.org/licenses/by/3.0/it/,CC BY 3.0 IT,,c_ku0k,Comune di Lusernetta,Lusernetta,Alex,Maurino,10060,TO,Piemonte,http://www.lusernetta.gov.it,Piazza S. Antonio 11/Bis,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,2054360017,comune.lusernetta.to@legalmail.it,pec,comune@lusernetta.gov.it,altro,anagrafe@lusernetta.gov.it,altro,ragioneria@lusernetta.gov.it,altro,ufficiotecnico@lusernetta.gov.it,altro,,,,,0,lusernetta,Lusernetta,44.8025,7.2487
c_d651,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY),,c_d651,Comune di Folgaria,Folgaria,Maurizio,Toller,38064,TN,Trentino Alto Adige,http://www.comune.folgaria.tn.it,Via Roma N. 60,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,323920223,comune@pec.comune.folgaria.tn.it,pec,info@comune.folgaria.tn.it,altro,,,,,,,,,,,0,folgaria,Folgaria,45.9163,11.1717
c_d714,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra),,c_d714,Comune di Fornace,Fornace,Mauro,Stenico,38040,TN,Trentino Alto Adige,http://www.comune.fornace.tn.it,"Piazza Castello, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,386100226,comune@pec.comune.fornace.tn.it,pec,segreteria@comune.fornace.tn.it,altro,,,,,,,,,,,0,fornace,Fornace,46.118,11.2075
c_i576,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra),,c_i576,Comune di Segonzano,Segonzano,Pierangelo,Villaci,38047,TN,Trentino Alto Adige,http://www.comune.segonzano.tn.it,"Frazione Scancio, 64",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,371860222,segreteria@PEC.comune.segonzano.tn.it,pec,affarigenerali.gestioneassociata@comune.segonzano.tn.it,altro,,,,,,,,,,,0,segonzano,Segonzano,46.1876,11.2574
c_c710,http://creativecommons.org/licenses/by/3.0/it/,Licenza Creative Commons,,c_c710,Comune di Cinquefrondi,Cinquefrondi,Marco,Cascarano,89021,RC,Calabria,http://www.comune.cinquefrondi.rc.it,Corso Garibaldi 103,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,8010803,protocollo@pec.comune.cinquefrondi.rc.it,pec,,,,,,,,,,,,,0,cinquefrondi,Cinquefrondi,38.4182,16.0949
c_a804,http://creativecommons.org/licenses/by/3.0/it/,Licenza Creative Commons,,c_a804,Comune di Bernate Ticino,Bernate Ticino,Mariapia,Colombo,20010,MI,Lombardia,http://www.comune.bernateticino.mi.it,Piazza Della Pace snc,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,3365620156,bernateticino@legalmail.it,pec,,,,,,,,,,,,,0,bernate-ticino,Bernate Ticino,45.4782,8.8183
c_a916,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra),,c_a916,Comune di Bocenago,Bocenago,Walter,Ferrazza,38080,TN,Trentino Alto Adige,http://www.comune.bocenago.tn.it,"Via A. Ferrazza, 54",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,266100221,comune@pec.comune.bocenago.tn.it,pec,protocollo@comune.bocenago.tn.it,altro,,,,,,,,,,,0,bocenago,Bocenago,46.12,10.76
c_d775,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra),,c_d775,Comune di Frassilongo,Frassilongo,Bruno,Groff,38050,TN,Trentino Alto Adige,http://www.comune.frassilongo.tn.it,Maso Paoli 52,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,80005250222,comune@pec.comune.frassilongo.tn.it,pec,,,,,,,,,,,,,0,frassilongo,Frassilongo,46.091,11.2983
c_e471,http://creativecommons.org/licenses/by/3.0/it/legalcode,http://creativecommons.org/licenses/by/3.0/it/legalcode,,c_e471,Comune di Latiano,Latiano,Carmela,Flore,72022,BR,Puglia,http://www.comune.latiano.br.it,"Via Cesare Battisti, 4",Segretario Comunale,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,91008570748,segreteria@pec.comune.latiano.br.it,pec,segreteria@comune.latiano.br.it,altro,,,,,,,https://www.facebook.com/Comune-di-Latiano-157581550921096,,,,0,latiano,Latiano,40.5539,17.7214
c_a520,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra),,c_a520,Comune di Avio,Avio,Federico,Secchi,38063,TN,Trentino Alto Adige,http://www.comune.avio.tn.it,"Piazza Vittorio Emanuele III, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,110390226,segreteria@pec.comune.avio.tn.it,pec,segreteria@comune.avio.tn.it,altro,,,,,,,,,,,0,avio,Avio,45.7349,10.9383
c_m407,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY),,c_m407,Comune di Terre D'Adige,Terre D'adige,Adriano,Bevilacqua,38010,TN,Trentino Alto Adige,http://www.comune.terredadige.tn.it,Piazza Ss Filippo E Giacomo,Segretario Comunale,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,2527840223,comune@pec.comune.terredadige.tn.it,pec,,,,,,,,,,,,,0,terre-d-adige,Terre d'Adige,46.15267,11.09737
c_c931,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra),,c_c931,Comune di Commezzadura,Commezzadura,Ivan ,Tevini,38020,TN,Trentino Alto Adige,http://www.comune.commezzadura.tn.it,"Frazione Mestriago Via Del Comune, 10",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,252960224,comune@pec.comune.commezzadura.tn.it,pec,protocollo@comune.commezzadura.tn.it,altro,,,,,,,,,,,0,commezzadura,Commezzadura,46.3226,10.8407
c_l282,http://creativecommons.org/licenses/by/3.0/it/,Licenza Creative Commons,,c_l282,Comune di Torretta,Torretta,Salvatore,Gambino,90040,PA,Sicilia,http://www.comune.torretta.pa.it,"Piazza V.Emanuele, 22",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,80020560829,segretariogenerale@pec.comune.torretta.pa.it,pec,uffpersonaletorretta@libero.it,altro,,,,,,,,,,,0,torretta,Torretta,38.1314,13.2327
c_f119,http://creativecommons.org/licenses/by/3.0/it/,Licenza Creative Commons,,c_f119,Comune di Melzo,Melzo,Antonio,Fuse',20066,MI,Lombardia,http://www.comune.melzo.mi.it,"Piazza Vittorio Emenuele II, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,795710151,comunemelzo@pec.it,pec,spaziocitta@comune.melzo.mi.it,altro,,,,,,,,,,,0,melzo,Melzo,45.4978,9.4184
c_a388,http://creativecommons.org/licenses/by/3.0/it/,Licenza Creative Commons,,c_a388,Comune di Arenzano,Arenzano,Luigi,Gambino,16011,GE,Liguria,http://www.comune.arenzano.ge.it,v. Sauli Pallavicino 39,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,449500107,info@pec.comune.arenzano.ge.it,pec,info@comune.arenzano.ge.it,altro,,,,,,,,,,,0,arenzano,Arenzano,44.403999999999996,8.681000000000001
c_h146,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra),,c_h146,Comune di Rabbi,Rabbi,Lorenzo,Cicolini,38020,TN,Trentino Alto Adige,http://www.comune.rabbi.tn.it,"Frazione San Bernardo, 48D",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,279660229,comune@pec.comune.rabbi.tn.it,pec,comune@comune.rabbi.tn.it,altro,,,,,,,,,,,3,rabbi,Rabbi,46.4013,10.8467
c_f363,http://creativecommons.org/licenses/by/3.0/it/legalcode,http://creativecommons.org/licenses/by/3.0/it/legalcode,,c_f363,Comune di Monghidoro,Monghidoro,Barbara,Panzacchi,40063,BO,Emilia Romagna,http://www.comune.monghidoro.bo.it,"Via Matteotti, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,562720375,comune.monghidoro@cert.provincia.bo.it,pec,,,,,,,,,,,,,0,monghidoro,Monghidoro,44.2275,11.3286
c_m313,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra),,c_m313,Comune di Ledro,Ledro,Renato,Girardi,38067,TN,Trentino Alto Adige,http://www.comune.ledro.tn.it,"Via Vittoria, 5",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,2147150227,comune@pec.comune.ledro.tn.it,pec,comune@comune.ledro.tn.it,altro,,,,,,,,,,,0,ledro,Ledro,45.8885,10.7312
c_i428,http://creativecommons.org/licenses/by/3.0/it/,Licenza Creative Commons,,c_i428,Comune di Sardara,Sardara,Roberto,Montisci,9030,VS,Sardegna,http://www.comune.sardara.vs.it,"Piazza Gramsci, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,82000170926,affarigenerali@pec.comune.sardara.vs.it,pec,amministrativodemografici@pec.comune.sardara.vs.it,pec,finanziario@pec.comune.sardara.vs.it,pec,,,,,,,,,0,sardara,Sardara,39.6138,8.8208
c_m345,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY),,c_m345,Comune di San Lorenzo Dorsino,San Lorenzo Dorsino,Albino,Dellaidotti,38078,TN,Trentino Alto Adige,http://www.comune.sanlorenzodorsino.tn.it,"Piazza Delle Sette Ville, 4",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,2362480226,comune@pec.comune.sanlorenzodorsino.tn.it,pec,segreteria@comune.sanlorenzodorsino.tn.it,altro,,,,,,,,,,,0,san-lorenzo-dorsino,Dorsino,46.0737,10.8976
c_b419,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY),,c_b419,Comune di Calliano,Calliano,LORENZO,CONCI,38060,TN,Trentino Alto Adige,http://www.comune.calliano.tn.it,"Via A. Valentini, 35",SINDACO,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,CALLIANO,S,410550222,comunecallianotn@legalmail.it,pec,ragioneria.calliano@comune.calliano.tn.it,altro,,,,,,,,,,,1,calliano,Calliano,45.0094,8.2558
c_i605,https://creativecommons.org/publicdomain/zero/1.0/deed.it,CC0 Creative Commons,,c_i605,Comune di Seneghe,Seneghe,Gianni,Oggianu,9070,OR,Sardegna,http://www.comune.seneghe.or.it,"Piazza Giovanni Antonio Deriu, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,70890959,protocollo.seneghe@legalmail.it,pec,comune.seneghe@tiscali.it,altro,amministrativo.seneghe@legalmail.it,pec,,,,,,,,,0,seneghe,Seneghe,40.0835,8.6167
c_m353,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra),,c_m353,Comune di Borgo Lares,Borgo Lares,Michele,Carboni,38079,TN,Trentino Alto Adige,http://www.comune.borgolares.tn.it,"Via 21 Aprile, 6",Segretario Comunale,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,2401740226,comune@pec.comune.borgolares.tn.it,pec,info@comune.borgolares.tn.it,altro,,,,,,,,,,,0,borgo-lares,Borgo Lares,46.035332,10.7522
c_h628,https://www.dati.gov.it/content/italian-open-data-license-v20,“Italian Open Data License v2.0”.,,c_h628,Comune di Rubiera,Rubiera,Emanuele,Cavallaro,42048,RE,Emilia Romagna,http://www.comune.rubiera.re.it/,Via Emilia Est 5,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,441270352,comune.rubiera@postecert.it,pec,segreteria@comune.rubiera.re.it,altro,,,,,,,http://www.facebook.com/comunedirubiera,https://twitter.com/ComuneRubiera,,,0,rubiera,Rubiera,44.6537,10.7813
c_b360,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra),,c_b360,Comune di Cagno',Cagno',Ivan,Dalpiaz,38028,TN,Trentino Alto Adige,http://www.comune.cagno.tn.it,"Via Nazionale, 48",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,83005490228,comune@pec.comune.cagno.tn.it,pec,c.cagno@comuni.infotn.it,altro,,,,,,,,,,,0,cagno,Cagno,46.394,11.0429
c_l145,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra),,c_l145,Comune di Terzolas,Terzolas,Enrico,Manini,38027,TN,Trentino Alto Adige,http://www.comune.terzolas.tn.it,"Piazza Della Torraccia, 2",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,159200229,pec@terzolas.legalmail.it,pec,segretario@comune.terzolas.tn.it,altro,,,,,,,,,,,0,terzolas,Terzolas,46.361999999999995,10.9271
c_b788,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione 3.0 Italia (CC BY 3.0 IT),,c_b788,Comune di Carlino,Carlino,Diego,Navarria,33050,UD,Friuli Venezia Giulia,http://www.comune.carlino.ud.it,"Piazza San Rocco, 24",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,81002550309,comune.carlino@certgov.fvg.it,pec,,,,,,,,,,,,,0,carlino,Carlino,45.8034,13.1896
